roll,pitch,yaw,joint_angles,total_torque
30.0,30.0,30.0,"[0.8402052813466778, 26.339239862099003, -30.072098218626763, 17.675529794582435, -47.9885615119454, 13.628572932124815]",38.94880860618151
31.0,30.0,30.0,"[0.8994465814573656, 26.312568581747936, -30.083690577628758, 19.043940604653816, -47.74343133016089, 12.65818177212789]",38.952446149690836
29.0,30.0,30.0,"[0.7790184463301519, 26.362963688545282, -30.059490634527968, 16.29309023733589, -48.21047041404729, 14.609743528194617]",38.94424517783466
30.0,31.0,30.0,"[0.815549921391183, 26.241018472663143, -29.987075620275803, 17.385568694109676, -47.126467560211545, 13.339773553841816]",38.937826850090794
30.0,31.0,30.0,"[0.815549921391183, 26.241018472663143, -29.987075620275803, 17.385568694109676, -47.126467560211545, 13.339773553841816]",38.937826850090794
31.0,31.0,30.0,"[0.8750755744396048, 26.215331228078345, -29.999538482435895, 18.775625969259963, -46.886363627552036, 12.340049548517545]",38.94154723043298
29.0,31.0,30.0,"[0.7541384233587416, 26.26421520259888, -29.974137977431536, 15.981894937628395, -47.346602473176944, 14.35015325725957]",38.93321874370638
30.0,32.0,30.0,"[0.791114201239939, 26.144127245559552, -29.905374798464972, 17.097679519952532, -46.261626862377994, 13.052058930116358]",38.92694626439167
30.0,32.0,30.0,"[0.791114201239939, 26.144127245559552, -29.905374798464972, 17.097679519952532, -46.261626862377994, 13.052058930116358]",38.92694626439167
31.0,32.0,30.0,"[0.8509216486219493, 26.119411258248196, -29.918673775015584, 18.51031776834185, -46.026566020581534, 12.022064886078752]",38.9307473253878
29.0,32.0,30.0,"[0.7294826406016734, 26.166790826967194, -29.89210818070829, 15.67188339067322, -46.47993503721571, 14.092517999026393]",38.92229342467265
30.0,33.0,30.0,"[0.7669067250442039, 26.04859306352119, -29.827012483153908, 16.81184157034521, -45.39406824453177, 12.765381721751977]",38.91616987977064
30.0,33.0,30.0,"[0.7669067250442039, 26.04859306352119, -29.827012483153908, 16.81184157034521, -45.39406824453177, 12.765381721751977]",38.91616987977064
31.0,33.0,30.0,"[0.8269933156153294, 26.024835315203806, -29.841113110937957, 18.248053177551938, -45.16406841861762, 11.70412265494426]",38.92004935220877
29.0,33.0,30.0,"[0.7050598132100481, 26.070717031035684, -29.813418187016495, 15.362984271315067, -45.610489764799276, 13.836841835141268]",38.91147223037536
30.0,34.0,30.0,"[0.7429360585075416, 25.954442668166973, -29.75200473750537, 16.52803559580841, -44.523820798807066, 12.479693687081385]",38.90550068755907
30.0,34.0,30.0,"[0.7429360585075416, 25.954442668166973, -29.75200473750537, 16.52803559580841, -44.523820798807066, 12.479693687081385]",38.90550068755907
31.0,34.0,30.0,"[0.8032990544181372, 25.931629898992263, -29.76687248455723, 17.988875716760322, -44.29890105595715, 11.386111914646612]",38.909456182462705
29.0,34.0,30.0,"[0.6808785998466211, 25.97602018377643, -29.73808437097247, 15.055123073100894, -44.73828828075125, 13.58313255679977]",38.900758135393914
30.0,35.0,30.0,"[0.7192107249791744, 25.861702650652752, -29.68036695485424, 16.246243919023883, -43.65091389056621, 12.19494554044879]",38.89494163884425
30.0,35.0,30.0,"[0.7192107249791744, 25.861702650652752, -29.68036695485424, 16.246243919023883, -43.65091389056621, 12.19494554044879]",38.89494163884425
31.0,35.0,30.0,"[0.7798473080602191, 25.839821357588423, -29.695967226142002, 17.7328358960385, -43.43109450647875, 11.067915247121626]",38.89897063986419
29.0,35.0,30.0,"[0.6569475975270581, 25.88272656372683, -29.6661225536778, 14.748221672410285, -43.86335230680106, 13.331402087759317]",38.890154080371985
30.0,36.0,30.0,"[0.6957392014183794, 25.770399442128337, -29.612113855589136, 15.96645056929763, -42.775377165484315, 11.911086796459157]",38.884495643573416
30.0,36.0,30.0,"[0.6957392014183794, 25.770399442128337, -29.612113855589136, 15.96645056929763, -42.775377165484315, 11.911086796459157]",38.884495643573416
31.0,36.0,30.0,"[0.7566464800813565, 25.749435877529088, -29.628411998875464, 17.479991943157703, -42.560679699153276, 10.749408008525995]",38.88859549836271
29.0,36.0,30.0,"[0.6332753363980355, 25.790862368907405, -29.597548014916466, 14.442197832041376, -42.98570380934473, 13.08166696746606]",38.879662973166084
30.0,37.0,30.0,"[0.6725299142174562, 25.680559303988154, -29.547259483934234, 15.688641433624163, -41.89724055639737, 11.628065597970389]",38.87416556964402
30.0,37.0,30.0,"[0.6725299142174562, 25.680559303988154, -29.547259483934234, 15.688641433624163, -41.89724055639737, 11.628065597970389]",38.87416556964402
31.0,37.0,30.0,"[0.7337049308162173, 25.660499474343364, -29.56422079570993, 17.230410624622678, -41.687687934403954, 10.430457487839028]",38.87833348005185
29.0,37.0,30.0,"[0.6098702744221876, 25.700453726117644, -29.532375502316683, 14.136964635533488, -42.10536516241931, 12.833948902881398]",38.86928768994995
30.0,38.0,30.0,"[0.6495912348722563, 25.592208317905495, -29.485817204628013, 15.41280442677936, -41.016534289741706, 11.345828525388102]",38.863954241973914
30.0,38.0,30.0,"[0.6495912348722563, 25.592208317905495, -29.485817204628013, 15.41280442677936, -41.016534289741706, 11.345828525388102]",38.863954241973914
31.0,38.0,30.0,"[0.7110309734586076, 25.573037982765424, -29.503406936063303, 16.98416817448141, -40.8121509013003, 10.110921957998617]",38.868187252865155
29.0,38.0,30.0,"[0.5867407919289886, 25.6115266989849, -29.470619236791624, 13.83242984202366, -41.22235932317991, 12.588275399075895]",38.85903107620045
30.0,39.0,30.0,"[0.6269314754915555, 25.50537237563937, -29.4277996994989, 15.138929683385602, -40.13328889139018, 11.064320384307305]",38.85386444154477
30.0,39.0,30.0,"[0.6269314754915555, 25.50537237563937, -29.4277996994989, 15.138929683385602, -40.13328889139018, 11.064320384307305]",38.85386444154477
31.0,39.0,30.0,"[0.6886328698799599, 25.48707704671772, -29.445983062352255, 16.741351347857815, -39.934100695573626, 9.790649602614879]",38.85815942801713
29.0,39.0,30.0,"[0.5638951859793624, 25.52410729409493, -29.41229291362869, 13.528495149614647, -40.33671001624573, 12.344680480482978]",38.84889594748595
30.0,40.0,30.0,"[0.604558884139559, 25.420077168606785, -29.373218963947213, 14.867009775529663, -39.24753519167353, 10.783483967907694]",38.84389890441188
30.0,40.0,30.0,"[0.604558884139559, 25.420077168606785, -29.373218963947213, 14.867009775529663, -39.24753519167353, 10.783483967907694]",38.84389890441188
31.0,40.0,30.0,"[0.6665188261804394, 25.402642109055495, -29.39196113636806, 16.502058619464, -39.0535698384578, 9.469477297995153]",38.84825255714214
29.0,40.0,30.0,"[0.5413416644801518, 25.438221464512857, -29.357409698697023, 13.22505535297807, -39.44844192235739, 12.103205516972622]",38.838885089974035
30.0,41.0,30.0,"[0.5824816400095051, 25.336348177216646, -29.32208630335117, 14.597039960298995, -38.359304329370644, 10.503259789724588]",38.83406032067352
30.0,41.0,30.0,"[0.5824816400095051, 25.336348177216646, -29.32208630335117, 14.597039960298995, -38.359304329370644, 10.503259789724588]",38.83406032067352
31.0,41.0,30.0,"[0.6446969879558544, 25.319758401066636, -29.341352435509176, 16.266401551401604, -38.17059129639631, 9.147229226160803]",38.83846912907464
29.0,41.0,30.0,"[0.5190883399731936, 25.35389511001258, -29.305982219383598, 12.921997378110195, -38.557580865922986, 11.863900171733142]",38.829001260578046
30.0,42.0,30.0,"[0.5607078484305197, 25.254210659966628, -29.27441232942328, 14.329018462564905, -37.46862775446136, 10.223585781454377]",38.82435133339347
30.0,42.0,30.0,"[0.5607078484305197, 25.254210659966628, -29.27441232942328, 14.329018462564905, -37.46862775446136, 10.223585781454377]",38.82435133339347
31.0,42.0,30.0,"[0.6231754352693998, 25.238450931726142, -29.29416754889646, 16.034506359535808, -37.28519850171774, 8.823715289562166]",38.828811566205026
29.0,42.0,30.0,"[0.4971421006917893, 25.271151302534943, -29.25802043440112, 12.619179179789434, -37.664127053459445, 11.626842370170017]",38.81924677652996
30.0,43.0,30.0,"[0.5392392870288321, 25.17368867208952, -29.230203888099187, 14.06278487674163, -36.57552746443621, 9.944559420276498]",38.81477383672808
30.0,43.0,30.0,"[0.5392392870288321, 25.17368867208952, -29.230203888099187, 14.06278487674163, -36.57552746443621, 9.944559420276498]",38.81477383672808
31.0,43.0,30.0,"[0.6019510306288688, 25.1587430174571, -29.25041023649901, 15.80622222143436, -36.3974111807856, 8.499023952709521]",38.819281109428154
29.0,43.0,30.0,"[0.4754932562227483, 25.189974878761006, -29.21350604385316, 12.31614215681953, -36.76769832409798, 11.392411917096016]",38.809618160349174
30.0,44.0,30.0,"[0.5180896173496495, 25.09480817216544, -29.18947328852667, 13.798484472890559, -35.68004716860143, 9.665971851788253]",38.805331049363666
30.0,44.0,30.0,"[0.5180896173496495, 25.09480817216544, -29.18947328852667, 13.798484472890559, -35.68004716860143, 9.665971851788253]",38.805331049363666
31.0,44.0,30.0,"[0.5810411833278801, 25.080660755819885, -29.210095294544015, 15.581945319053585, -35.50727863110414, 8.172694883745685]",38.80988103080949
29.0,44.0,30.0,"[0.45417121634443525, 25.110446108428015, -29.17249241311352, 12.013118784737438, -35.868848557577735, 11.160336143520867]",38.80012609891437
30.0,45.0,30.0,"[0.49726671856887045, 25.01759366300913, -29.15222903556122, 13.536125728615444, -34.78221912060044, 9.387751789133276]",38.796025468239996
30.0,45.0,30.0,"[0.49726671856887045, 25.01759366300913, -29.15222903556122, 13.536125728615444, -34.78221912060044, 9.387751789133276]",38.796025468239996
31.0,45.0,30.0,"[0.5604542196314274, 25.00422846906661, -29.173231488845026, 15.36186675300235, -34.61483630405232, 7.8444740553671775]",38.80061357828301
29.0,45.0,30.0,"[0.4331838582623635, 25.032589514001625, -29.134988295690015, 11.709960716082566, -34.967605499669325, 10.930700830954724]",38.790773135600624
30.0,46.0,30.0,"[0.47677834214396436, 24.942069373577, -29.118478911807156, 13.275720731099417, -33.88207580004517, 9.10982465014769]",38.786859534747094
30.0,46.0,30.0,"[0.47677834214396436, 24.942069373577, -29.118478911807156, 13.275720731099417, -33.88207580004517, 9.10982465014769]",38.786859534747094
31.0,46.0,30.0,"[0.5401978633355933, 24.929470136361726, -29.13982659162033, 15.146187671859227, -33.720119465278614, 7.514097747149435]",38.791480861229914
29.0,46.0,30.0,"[0.41253894214990394, 24.95642945797342, -29.101001840000762, 11.4065060240118, -34.063997882118954, 10.703605683091464]",38.78156177498231
30.0,47.0,30.0,"[0.4566321456275994, 24.868259254623634, -29.088229994711007, 13.017286761201717, -32.97964998082744, 8.832110951781631]",38.77783563787302
30.0,47.0,30.0,"[0.4566321456275994, 24.868259254623634, -29.088229994711007, 13.017286761201717, -32.97964998082744, 8.832110951781631]",38.77783563787302
31.0,47.0,30.0,"[0.5202797554918082, 24.856409459487317, -29.109887676334903, 14.93513606172783, -32.82316396885305, 7.181275684066621]",38.78248489689804
29.0,47.0,30.0,"[0.3922441037783566, 24.881990131007324, -29.07054057587188, 11.102577155657185, -33.15805550135462, 10.479166352575199]",38.77249448192203
30.0,48.0,30.0,"[0.43683568801935546, 24.796186967340443, -29.06148865396141, 12.760847012659784, -32.07497472981365, 8.554525572820816]",38.76895611283876
30.0,48.0,30.0,"[0.43683568801935546, 24.796186967340443, -29.06148865396141, 12.760847012659784, -32.07497472981365, 8.554525572820816]",38.76895611283876
31.0,48.0,30.0,"[0.5007074502902513, 24.785069851686135, -29.083421115042096, 14.728970625242972, -31.924006300130433, 6.845687139728146]",38.77362760220138
29.0,48.0,30.0,"[0.3723068466878551, 24.80929553794754, -29.043611399110095, 10.797978523410764, -32.249809288412585, 10.257516829753698]",38.76357368036331
30.0,49.0,30.0,"[0.41739642505873453, 24.725875871939213, -29.038260549033396, 12.50643144099125, -31.168083404921788, 8.276976887094364]",38.76022323960732
30.0,49.0,30.0,"[0.41739642505873453, 24.725875871939213, -29.038260549033396, 12.50643144099125, -31.168083404921788, 8.276976887094364]",38.76022323960732
31.0,49.0,30.0,"[0.4814884108721757, 24.715474426436202, -29.060432575844395, 14.527985357950246, -31.022683625728902, 6.506976342409934]",38.76491078399598
29.0,49.0,30.0,"[0.35273453385001263, 24.738369481709675, -29.020220554456255, 10.49249365711802, -31.339291368731946, 10.038812270460507]",38.7548017517991
30.0,50.0,30.0,"[0.39832170446683945, 24.657349016205714, -29.018550626904737, 12.254077770347825, -30.259009652676276, 7.999365738902253]",38.751639241239296
30.0,50.0,30.0,"[0.39832170446683945, 24.657349016205714, -29.018550626904737, 12.254077770347825, -30.259009652676276, 7.999365738902253]",38.751639241239296
31.0,50.0,30.0,"[0.4626300050832481, 24.647645986180525, -29.04092702050742, 14.332514973162853, -30.11923385237676, 6.164747032761998]",38.756336127468536
29.0,50.0,30.0,"[0.3335343787675972, 24.669235545136072, -29.000373617297125, 10.185881820757542, -30.426535110763513, 9.823232359279919]",38.746181033386215
30.0,51.0,30.0,"[0.3796187611453196, 24.590629124048714, -29.002363119968376, 12.003832693830255, -29.347787405376074, 7.7215842251380735]",38.743206282058686
30.0,51.0,30.0,"[0.3796187611453196, 24.590629124048714, -29.002363119968376, 12.003832693830255, -29.347787405376074, 7.7215842251380735]",38.743206282058686
31.0,51.0,30.0,"[0.4441395011839073, 24.58160701103725, -29.024908702262213, 14.142941365012797, -29.21369569685174, 5.818555983459667]",38.7479051821723
29.0,51.0,30.0,"[0.3147134359485734, 24.601917070960138, -28.98407547458044, 9.877873972106434, -29.51157516275924, 9.610985329835021]",38.73771381567075
30.0,52.0,30.0,"[0.36129471234232025, 24.52573858407219, -28.989701544167186, 11.755753312188945, -28.434450878054683, 7.443514239167272]",38.73492646558417
30.0,52.0,30.0,"[0.36129471234232025, 24.52573858407219, -28.989701544167186, 11.755753312188945, -28.434450878054683, 7.443514239167272]",38.73492646558417
31.0,52.0,30.0,"[0.42602406353686845, 24.517379647516467, -29.01238116383149, 13.959701349460136, -28.306108769838698, 5.467905241019148]",38.73961934510914
29.0,52.0,30.0,"[0.29627859068091417, 24.536437140090104, -28.971330305436016, 9.568167911246677, -28.594447477674503, 9.40231279629196]",38.729402339881304
30.0,53.0,30.0,"[0.3433565527959908, 24.462699438197774, -28.98056869737061, 11.509908868136867, -27.519034565462373, 7.165025719218975]",38.726801832166416
30.0,53.0,30.0,"[0.3433565527959908, 24.462699438197774, -28.98056869737061, 11.509908868136867, -27.519034565462373, 7.165025719218975]",38.726801832166416
31.0,53.0,30.0,"[0.408290748296268, 24.454985697271443, -29.003347235716678, 13.783295988386415, -27.396513677309855, 5.112232784634503]",38.73147984007574
29.0,53.0,30.0,"[0.27823654801923065, 24.472818548488267, -28.96214156205041, 9.256422420939733, -27.675189326846326, 9.197495593109293]",38.72124879473056
30.0,54.0,30.0,"[0.32581114986666065, 24.40153337036415, -28.9749666580117, 11.266382849718209, -26.60157323935251, 6.8859745278321505]",38.71883435625449
30.0,54.0,30.0,"[0.32581114986666065, 24.40153337036415, -28.9749666580117, 11.266382849718209, -26.60157323935251, 6.8859745278321505]",38.71883435625449
31.0,54.0,30.0,"[0.3909464991273199, 24.39444660591216, -28.997809034782836, 13.614301887956573, -26.484952144044343, 4.750901210834555]",38.72348769224862
29.0,54.0,30.0,"[0.26059382087299277, 24.411083782983702, -28.956511951371148, 8.94225014524562, -26.75383930403186, 8.996860876719689]",38.71325531264111
30.0,55.0,30.0,"[0.3086652386688548, 24.342261695329682, -28.972896783997715, 11.02527555773371, -25.682101946418246, 6.606199867339434]",38.71102594319005
30.0,55.0,30.0,"[0.3086652386688548, 24.342261695329682, -28.972896783997715, 11.02527555773371, -25.682101946418246, 6.606199867339434]",38.71102594319005
31.0,55.0,30.0,"[0.37399814298952233, 24.335783451907265, -28.995767963177165, 13.453384976716896, -25.571467165238786, 4.383183938474093]",38.71564369664871
29.0,55.0,30.0,"[0.2433567170568686, 24.35125499641343, -28.95444341822551, 8.625208877170982, -25.83043732253534, 8.800790818430414]",38.70542396526986
30.0,56.0,30.0,"[0.29192541721376414, 24.28490534760175, -28.974359711902792, 10.786707261156502, -24.760656007294997, 6.325521107438786]",38.70337842539486
30.0,56.0,30.0,"[0.29192541721376414, 24.28490534760175, -28.974359711902792, 10.786707261156502, -24.760656007294997, 6.325521107438786]",38.70337842539486
31.0,56.0,30.0,"[0.3574523860200031, 24.27901693560018, -28.997224707619313, 13.30131742206294, -24.656103193933692, 4.008248275406578]",38.707948378670565
29.0,56.0,30.0,"[0.22653132512377386, 24.29335398253002, -28.955937130419663, 8.304790824319634, -24.90502460955678, 8.609733319646176]",38.697756758143726
30.0,57.0,30.0,"[0.27559814157140694, 24.229484870514604, -28.97935535644599, 10.55082210369159, -23.837271017132124, 6.043733861683875]",38.69589355777115
30.0,57.0,30.0,"[0.27559814157140694, 24.229484870514604, -28.97935535644599, 10.55082210369159, -23.837271017132124, 6.043733861683875]",38.69589355777115
31.0,57.0,30.0,"[0.3413158095556067, 24.22416736836136, -29.00217923910119, 13.158998550992555, -23.738906374369964, 3.62513448090403]",38.70040194422412
29.0,57.0,30.0,"[0.210141765574438, 24.237396433799518, -28.96099804734222, 7.981128108790525, -23.977550248221277, 8.42349218042441]",38.69025696073265
30.0,58.0,30.0,"[0.25962152646403847, 24.176018991569023, -28.987861942807676, 10.315061012972789, -22.91196621954995, 5.763344198159546]",38.68856700072164
30.0,58.0,30.0,"[0.25962152646403847, 24.176018991569023, -28.987861942807676, 10.315061012972789, -22.91196621954995, 5.763344198159546]",38.68856700072164
31.0,58.0,30.0,"[0.3254865087237383, 24.171249890708886, -29.01058643674847, 13.023097497248157, -22.819858023156733, 3.2371248470160126]",38.69299700615459
29.0,58.0,30.0,"[0.19423445668436384, 24.183401674317068, -28.969635243090156, 7.6552307373681225, -23.04801536770477, 8.24099276059468]",38.68293065440681
30.0,59.0,30.0,"[0.24405409413942303, 24.124528625618478, -28.999895147886722, 10.081490164197893, -21.984789765798457, 5.482220425104343]",38.68140518666654
30.0,59.0,30.0,"[0.24405409413942303, 24.124528625618478, -28.999895147886722, 10.081490164197893, -21.984789765798457, 5.482220425104343]",38.68140518666654
